iter	Passed	Remaining
0	198	397619
1	258	258482
2	355	236902
3	408	203910
4	441	176122
5	543	180572
6	605	172308
7	702	175014
8	738	163295
9	771	153495
10	812	146855
11	837	138820
12	901	137845
13	985	139838
14	1046	138481
15	1114	138173
16	1193	139198
17	1266	139430
18	1339	139695
19	1402	138848
20	1453	136957
21	1544	138844
22	1605	137969
23	1638	134898
24	1678	132606
25	1736	131810
26	1769	129335
27	1796	126524
28	1842	125244
29	1891	124181
30	1916	121730
31	1947	119785
32	1996	119013
33	2037	117796
34	2077	116629
35	2115	115422
36	2159	114549
37	2185	112860
38	2224	111862
39	2245	110018
40	2267	108340
41	2307	107573
42	2342	106611
43	2394	106458
44	2437	105875
45	2480	105374
46	2533	105274
47	2569	104490
48	2612	104002
49	2658	103669
50	2697	103071
51	2750	103046
52	2793	102608
53	2828	101944
54	2879	101824
55	2921	101434
56	2954	100714
57	2987	100021
58	3016	99252
59	3057	98854
60	3092	98313
61	3139	98129
62	3166	97348
63	3194	96643
64	3217	95782
65	3267	95741
66	3291	94950
67	3322	94390
68	3364	94154
69	3409	94005
70	3460	94005
71	3497	93666
72	3536	93347
73	3559	92645
74	3588	92110
75	3614	91510
76	3646	91062
77	3671	90461
78	3697	89917
79	3730	89540
80	3776	89479
81	3801	88914
82	3818	88184
83	3849	87800
84	3897	87814
85	3936	87613
86	3968	87252
87	4023	87417
88	4044	86835
89	4117	87383
90	4194	87998
91	4254	88239
92	4343	89068
93	4416	89557
94	4476	89759
95	4524	89728
96	4562	89501
97	4604	89362
98	4675	89781
99	4796	91130
100	4860	91386
101	4920	91561
102	5029	92630
103	5180	94439
104	5285	95386
105	5417	96800
106	5507	97441
107	5532	96917
108	5556	96395
109	5588	96016
110	5604	95384
111	5624	94811
112	5644	94258
113	5665	93722
114	5693	93331
115	5717	92852
116	5762	92743
117	5802	92541
118	5825	92083
119	5851	91668
120	5873	91213
121	5895	90758
122	5923	90386
123	5935	89803
124	5980	89700
125	6034	89751
126	6112	90148
127	6167	90194
128	6208	90050
129	6283	90391
130	6322	90210
131	6421	90876
132	6454	90607
133	6482	90268
134	6514	89990
135	6565	89990
136	6632	90189
137	6726	90757
138	6810	91180
139	6936	92154
140	6990	92171
141	7029	91977
142	7074	91873
143	7134	91952
144	7198	92089
145	7256	92152
146	7310	92158
147	7369	92222
148	7414	92113
149	7452	91910
150	7502	91866
151	7551	91809
152	7593	91667
153	7624	91399
154	7640	90941
155	7662	90577
156	7702	90415
157	7758	90454
158	7813	90470
159	7849	90269
160	7896	90194
161	7944	90137
162	8015	90338
163	8076	90421
164	8127	90387
165	8206	90670
166	8249	90542
167	8327	90808
168	8387	90868
169	8458	91056
170	8528	91223
171	8576	91154
172	8616	91001
173	8667	90957
174	8732	91063
175	8788	91079
176	8836	91006
177	8874	90840
178	8914	90688
179	8943	90427
180	8992	90370
181	9075	90652
182	9107	90423
183	9141	90220
184	9164	89912
185	9188	89615
186	9215	89345
187	9243	89091
188	9268	88809
189	9292	88520
190	9333	88403
191	9352	88070
192	9393	87945
193	9477	88233
194	9526	88180
195	9570	88086
196	9603	87889
197	9654	87864
198	9702	87813
199	9744	87697
200	9787	87597
201	9851	87684
202	9880	87467
203	10028	88288
204	10087	88323
205	10110	88050
206	10175	88134
207	10197	87851
208	10221	87594
209	10247	87343
210	10290	87250
211	10304	86906
212	10328	86652
213	10370	86550
214	10396	86311
215	10419	86057
216	10460	85947
217	10508	85896
218	10541	85725
219	10583	85628
220	10607	85388
221	10643	85243
222	10683	85132
223	10735	85116
224	10799	85199
225	10835	85052
226	10872	84917
227	10888	84628
228	10907	84356
229	10938	84182
230	10977	84066
231	11022	83998
232	11057	83854
233	11111	83855
234	11174	83926
235	11203	83740
236	11246	83660
237	11269	83431
238	11291	83194
239	11331	83100
240	11372	83005
241	11404	82849
242	11443	82741
243	11490	82695
244	11536	82639
245	11583	82593
246	11623	82493
247	11667	82427
248	11699	82269
249	11737	82163
250	11771	82027
251	11797	81835
252	11811	81559
253	11826	81298
254	11850	81094
255	11882	80948
256	11923	80866
257	11956	80732
258	12009	80728
259	12052	80659
260	12122	80767
261	12182	80812
262	12217	80692
263	12273	80710
264	12335	80765
265	12393	80788
266	12464	80902
267	12556	81146
268	12641	81347
269	12681	81256
270	12756	81386
271	12857	81681
272	12953	81940
273	13013	81978
274	13098	82162
275	13203	82476
276	13290	82669
277	13375	82853
278	13499	83269
279	13649	83849
280	13708	83863
281	13824	84222
282	13957	84681
283	14016	84692
284	14111	84916
285	14232	85292
286	14343	85608
287	14455	85931
288	14550	86146
289	14614	86174
290	14672	86167
291	14787	86495
292	14887	86731
293	14980	86928
294	15064	87070
295	15118	87035
296	15230	87333
297	15380	87846
298	15578	88623
299	15682	88868
300	15818	89290
301	15842	89072
302	15990	89557
303	16126	89966
304	16182	89934
305	16218	89787
306	16263	89687
307	16297	89529
308	16329	89364
309	16454	89701
310	16559	89933
311	16606	89846
312	16654	89762
313	16736	89863
314	16825	90004
315	16909	90111
316	16943	89957
317	16980	89813
318	17016	89672
319	17072	89628
320	17146	89686
321	17269	89995
322	17333	89997
323	17422	90125
324	17533	90365
325	17598	90366
326	17630	90203
327	17654	89992
328	17736	90084
329	17853	90349
330	17978	90652
331	18069	90783
332	18133	90778
333	18175	90661
334	18226	90588
335	18282	90542
336	18380	90704
337	18415	90552
338	18462	90458
339	18479	90221
340	18525	90128
341	18542	89892
342	18566	89691
343	18583	89460
344	18612	89285
345	18655	89181
346	18684	89005
347	18697	88760
348	18710	88512
349	18720	88253
350	18731	87998
351	18742	87749
352	18756	87513
353	18772	87285
354	18784	87044
355	18803	86836
356	18815	86593
357	18830	86366
358	18847	86150
359	18868	85957
360	18882	85731
361	18895	85500
362	18919	85318
363	18934	85101
364	18948	84877
365	18962	84659
366	18972	84418
367	18981	84177
368	18991	83941
369	19001	83709
370	19010	83473
371	19019	83236
372	19028	83001
373	19040	82779
374	19058	82586
375	19075	82392
376	19090	82186
377	19112	82010
378	19134	81840
379	19147	81628
380	19161	81425
381	19181	81243
382	19193	81033
383	19206	80829
384	19233	80679
385	19253	80506
386	19274	80335
387	19288	80138
388	19303	79942
389	19332	79809
390	19365	79692
391	19389	79537
392	19406	79352
393	19437	79230
394	19474	79132
395	19500	78985
396	19527	78847
397	19543	78664
398	19569	78523
399	19594	78376
400	19613	78210
401	19628	78025
402	19648	77861
403	19672	77716
404	19698	77578
405	19718	77416
406	19731	77230
407	19743	77037
408	19762	76874
409	19781	76712
410	19798	76543
411	19815	76375
412	19843	76250
413	19863	76095
414	19881	75934
415	19906	75799
416	19953	75747
417	19970	75580
418	19996	75451
419	20011	75282
420	20021	75091
421	20042	74944
422	20060	74788
423	20076	74623
424	20084	74430
425	20092	74239
426	20107	74071
427	20122	73908
428	20137	73741
429	20146	73558
430	20154	73370
431	20163	73184
432	20172	73001
433	20196	72875
434	20212	72718
435	20222	72542
436	20231	72359
437	20240	72182
438	20248	72001
439	20260	71831
440	20269	71654
441	20277	71476
442	20291	71316
443	20305	71161
444	20316	70992
445	20324	70816
446	20333	70642
447	20342	70472
448	20352	70303
449	20361	70134
450	20379	69995
451	20388	69827
452	20399	69664
453	20408	69495
454	20422	69347
455	20431	69181
456	20440	69013
457	20452	68860
458	20461	68694
459	20470	68532
460	20479	68368
461	20488	68205
462	20497	68045
463	20506	67884
464	20515	67722
465	20527	67574
466	20543	67436
467	20567	67327
468	20577	67172
469	20587	67017
470	20595	66857
471	20603	66700
472	20611	66541
473	20619	66383
474	20629	66230
475	20637	66076
476	20647	65923
477	20655	65769
478	20663	65614
479	20680	65488
480	20697	65363
481	20714	65238
482	20731	65114
483	20744	64976
484	20759	64846
485	20773	64713
486	20788	64584
487	20798	64442
488	20807	64294
489	20817	64151
490	20830	64017
491	20842	63881
492	20861	63770
493	20871	63628
494	20881	63487
495	20890	63345
496	20902	63211
497	20911	63070
498	20923	62937
499	20939	62817
500	20957	62704
501	20985	62620
502	21007	62521
503	21023	62402
504	21031	62260
505	21042	62129
506	21051	61993
507	21062	61861
508	21072	61725
509	21080	61587
510	21090	61455
511	21099	61320
512	21107	61183
513	21119	61056
514	21127	60922
515	21136	60789
516	21148	60662
517	21160	60539
518	21169	60409
519	21179	60280
520	21189	60151
521	21199	60023
522	21214	59911
523	21240	59829
524	21256	59721
525	21275	59619
526	21289	59506
527	21310	59410
528	21325	59299
529	21336	59179
530	21348	59060
531	21364	58952
532	21397	58892
533	21422	58810
534	21447	58731
535	21467	58634
536	21495	58562
537	21536	58524
538	21565	58456
539	21592	58378
540	21609	58278
541	21647	58231
542	21673	58155
543	21708	58103
544	21757	58085
545	21829	58132
546	21872	58099
547	21917	58073
548	21965	58054
549	22000	58000
550	22049	57983
551	22090	57948
552	22134	57917
553	22189	57916
554	22233	57886
555	22289	57888
556	22319	57823
557	22371	57812
558	22394	57727
559	22412	57632
560	22442	57565
561	22467	57488
562	22497	57423
563	22517	57330
564	22553	57281
565	22586	57223
566	22601	57120
567	22639	57077
568	22734	57174
569	22808	57220
570	22918	57356
571	22972	57351
572	23004	57289
573	23021	57193
574	23042	57105
575	23063	57018
576	23075	56909
577	23091	56810
578	23105	56705
579	23121	56607
580	23140	56517
581	23161	56430
582	23186	56355
583	23223	56308
584	23260	56261
585	23279	56171
586	23305	56099
587	23349	56070
588	23398	56053
589	23413	55955
590	23440	55884
591	23463	55804
592	23473	55694
593	23485	55591
594	23500	55492
595	23530	55431
596	23555	55358
597	23584	55294
598	23623	55252
599	23689	55275
600	23790	55378
601	23868	55429
602	23936	55454
603	23973	55409
604	23998	55336
605	24024	55264
606	24050	55193
607	24083	55139
608	24118	55087
609	24222	55196
610	24294	55229
611	24322	55163
612	24338	55068
613	24352	54970
614	24362	54866
615	24372	54758
616	24380	54648
617	24390	54544
618	24402	54442
619	24411	54336
620	24421	54231
621	24432	54128
622	24442	54024
623	24451	53918
624	24461	53814
625	24483	53737
626	24504	53660
627	24526	53582
628	24550	53511
629	24591	53477
630	24612	53398
631	24628	53308
632	24657	53248
633	24670	53153
634	24683	53059
635	24696	52964
636	24708	52868
637	24721	52775
638	24734	52682
639	24743	52578
640	24752	52477
641	24759	52373
642	24768	52272
643	24778	52173
644	24787	52072
645	24795	51970
646	24802	51867
647	24812	51768
648	24823	51674
649	24835	51582
650	24845	51484
651	24853	51384
652	24867	51297
653	24910	51268
654	24944	51222
655	24964	51145
656	25004	51113
657	25047	51084
658	25085	51046
659	25117	50995
660	25145	50938
661	25175	50884
662	25189	50796
663	25208	50720
664	25228	50646
665	25253	50583
666	25288	50539
667	25309	50467
668	25331	50397
669	25344	50311
670	25367	50244
671	25393	50181
672	25406	50095
673	25419	50010
674	25433	49925
675	25446	49839
676	25459	49753
677	25470	49663
678	25478	49568
679	25488	49478
680	25496	49383
681	25509	49297
682	25520	49209
683	25531	49121
684	25541	49031
685	25550	48940
686	25561	48853
687	25576	48773
688	25587	48686
689	25601	48606
690	25619	48531
691	25637	48459
692	25656	48388
693	25670	48308
694	25688	48235
695	25706	48162
696	25716	48075
697	25726	47987
698	25737	47903
699	25753	47827
700	25782	47776
701	25805	47714
702	25825	47646
703	25848	47584
704	25884	47546
705	25902	47475
706	25928	47419
707	25969	47391
708	25989	47323
709	26007	47252
710	26035	47200
711	26072	47164
712	26102	47116
713	26114	47035
714	26124	46950
715	26139	46875
716	26154	46800
717	26171	46729
718	26178	46641
719	26193	46565
720	26209	46494
721	26219	46410
722	26229	46327
723	26237	46242
724	26245	46156
725	26254	46071
726	26265	45992
727	26288	45932
728	26299	45853
729	26316	45783
730	26347	45739
731	26363	45668
732	26383	45604
733	26393	45523
734	26402	45440
735	26414	45363
736	26432	45296
737	26448	45228
738	26463	45156
739	26477	45083
740	26491	45010
741	26522	44966
742	26541	44902
743	26556	44831
744	26579	44774
745	26598	44711
746	26611	44637
747	26623	44562
748	26636	44488
749	26657	44428
750	26674	44362
751	26692	44297
752	26712	44237
753	26730	44173
754	26754	44117
755	26765	44042
756	26785	43982
757	26802	43916
758	26814	43843
759	26832	43779
760	26845	43708
761	26860	43639
762	26883	43584
763	26899	43518
764	26913	43448
765	26928	43380
766	26969	43355
767	26993	43302
768	27008	43234
769	27019	43161
770	27031	43089
771	27042	43015
772	27071	42971
773	27113	42947
774	27136	42893
775	27159	42838
776	27175	42775
777	27201	42724
778	27224	42670
779	27243	42611
780	27257	42544
781	27266	42468
782	27274	42392
783	27282	42316
784	27291	42241
785	27300	42166
786	27309	42091
787	27318	42017
788	27327	41944
789	27336	41869
790	27345	41796
791	27355	41724
792	27364	41651
793	27376	41581
794	27390	41516
795	27405	41452
796	27421	41389
797	27435	41325
798	27451	41263
799	27464	41196
800	27478	41131
801	27499	41077
802	27511	41009
803	27520	40939
804	27532	40870
805	27542	40800
806	27561	40744
807	27575	40680
808	27586	40612
809	27597	40545
810	27615	40486
811	27628	40421
812	27642	40358
813	27654	40293
814	27669	40230
815	27682	40167
816	27694	40101
817	27704	40033
818	27714	39964
819	27726	39898
820	27741	39837
821	27759	39781
822	27778	39727
823	27790	39662
824	27810	39609
825	27830	39555
826	27853	39506
827	27867	39445
828	27882	39385
829	27902	39332
830	27919	39275
831	27930	39210
832	27943	39147
833	27956	39085
834	27972	39027
835	27980	38958
836	27988	38889
837	27996	38821
838	28005	38753
839	28013	38685
840	28020	38615
841	28027	38546
842	28034	38477
843	28043	38410
844	28054	38347
845	28065	38283
846	28074	38217
847	28083	38150
848	28092	38085
849	28103	38022
850	28129	37979
851	28148	37928
852	28174	37885
853	28195	37836
854	28219	37790
855	28259	37767
856	28276	37713
857	28296	37663
858	28314	37609
859	28329	37553
860	28347	37499
861	28356	37435
862	28364	37369
863	28372	37304
864	28382	37241
865	28393	37180
866	28402	37116
867	28416	37059
868	28431	37003
869	28442	36942
870	28451	36879
871	28460	36815
872	28472	36756
873	28482	36694
874	28490	36630
875	28504	36574
876	28518	36517
877	28529	36457
878	28549	36410
879	28568	36359
880	28583	36305
881	28598	36250
882	28609	36191
883	28619	36130
884	28632	36073
885	28647	36019
886	28661	35963
887	28671	35904
888	28687	35851
889	28703	35798
890	28723	35750
891	28739	35699
892	28753	35643
893	28764	35585
894	28776	35528
895	28789	35472
896	28828	35448
897	28862	35419
898	28879	35368
899	28896	35317
900	28914	35268
901	28954	35245
902	28988	35216
903	29016	35179
904	29044	35142
905	29071	35103
906	29101	35069
907	29130	35033
908	29169	35010
909	29185	34958
910	29206	34913
911	29225	34865
912	29248	34823
913	29261	34767
914	29276	34715
915	29298	34671
916	29319	34626
917	29354	34598
918	29385	34566
919	29427	34544
920	29468	34523
921	29486	34475
922	29508	34432
923	29528	34385
924	29545	34336
925	29573	34300
926	29607	34270
927	29622	34218
928	29632	34162
929	29646	34108
930	29689	34090
931	29721	34058
932	29751	34024
933	29768	33975
934	29778	33919
935	29796	33871
