Country Name,Country Code,Series Name,Series Code,2016Q4 [YR2016Q4],2017Q1 [YR2017Q1],2017Q2 [YR2017Q2],2017Q3 [YR2017Q3],2017Q4 [YR2017Q4],2018Q1 [YR2018Q1],2018Q2 [YR2018Q2],2018Q3 [YR2018Q3],2018Q4 [YR2018Q4],2019Q1 [YR2019Q1],2019Q2 [YR2019Q2],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4],2020Q1 [YR2020Q1],2020Q2 [YR2020Q2],2020Q3 [YR2020Q3],2020Q4 [YR2020Q4],2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4],2024Q1 [YR2024Q1],2024Q2 [YR2024Q2],2024Q3 [YR2024Q3],2024Q4 [YR2024Q4]
Ukraine,UKR,01_Cross-border loans from BIS reporting banks,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,6905396000,6831042000,6974277000,6852475000,5691764000,5498985000,5039799000,5501326000,5474527000,5041696000,5208214000,4997850000,5383297000,4825692000,4681315000,4954678000,5168196000,4741029000,4805352000,4743544000,5215585000,4406756000,4494717000,4211177000,4348059000,4393108000,4295935000,4192816000,3188029000,3270725000,3282944000,3299542000,..
Ukraine,UKR,"12_Liabilities to BIS banks (cons.), short term",Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,2154907000,1984737000,2583615000,2745604000,2137596000,2425910000,2558736000,2335141000,2237396000,3220601000,3958575000,3659383000,3563906000,3348745000,2761844000,2457948000,2613834000,2784207000,3022089000,2842583000,3070103000,2462281000,2095093000,1991636000,1911834000,1808220000,1746553000,1968080000,1522273000,1596438000,1407906000,1411973000,..
Ukraine,UKR,"22_Liabilities to BIS banks, locational, total",Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,9600051000,9972783000,10014389000,10009829000,9045139000,8951042000,8471379000,8747859000,8689494000,8681047000,9245535000,9319903000,9792511000,8642496000,8627921000,8672449000,9001237000,8818795000,9019049000,8945059000,9003785000,5671992000,5433944000,4991090000,5162180000,5258548000,5190273000,5165496000,4220455000,4391311000,5670701000,5679027000,..
Ukraine,UKR,27_Cross-border deposits with BIS rep. banks,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,9821162000,9363719000,9380550000,9696662000,8197958000,8744205000,10041571000,9499545000,9910416000,9990184000,10058673000,11100139000,11858522000,12376958000,12827626000,13636566000,12931895000,13367278000,14570493000,15046470000,13559285000,14314007000,13644734000,14025794000,13332315000,15015123000,14684546000,14246203000,14248517000,14568783000,14818863000,13799159000,..
Ukraine,UKR,24_International reserves (excluding gold),Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,14597618304.3675,14102060844.5567,16954018324.6998,17591857335.8528,17747801196.5576,17154107800.2739,16993057103.9795,15700098285.0135,19818210004.1028,19605960748.7947,19532677313.6943,20258621642.4294,24083372926.8886,23610307559.222,27085228964.1012,24975954793.7481,27549017200.0461,25608104643.3385,26854516121.7253,27228063310.9605,29383187653.8888,26442216010.1192,22270948433.5897,22501736128.5665,26929187392.0519,32866465573.4247,37371803631.261,38097457693.4001,38715818307.8863,41838087389.2532,35888898145.8244,36552112949.0099,41484541772.8406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Joint External Debt Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
