date,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA
2019-01-31,19605960748.7947,3220601000.0,8681047000.0,5041696000.0,9990184000.0
2019-02-28,19605960748.7947,3220601000.0,8681047000.0,5041696000.0,9990184000.0
2019-03-31,19605960748.7947,3220601000.0,8681047000.0,5041696000.0,9990184000.0
2019-04-30,19532677313.6943,3958575000.0,9245535000.0,5208214000.0,10058673000.0
2019-05-31,19532677313.6943,3958575000.0,9245535000.0,5208214000.0,10058673000.0
2019-06-30,19532677313.6943,3958575000.0,9245535000.0,5208214000.0,10058673000.0
2019-07-31,20258621642.4294,3659383000.0,9319903000.0,4997850000.0,11100139000.0
2019-08-31,20258621642.4294,3659383000.0,9319903000.0,4997850000.0,11100139000.0
2019-09-30,20258621642.4294,3659383000.0,9319903000.0,4997850000.0,11100139000.0
2019-10-31,24083372926.8886,3563906000.0,9792511000.0,5383297000.0,11858522000.0
2019-11-30,24083372926.8886,3563906000.0,9792511000.0,5383297000.0,11858522000.0
2019-12-31,24083372926.8886,3563906000.0,9792511000.0,5383297000.0,11858522000.0
2020-01-31,23610307559.222,3348745000.0,8642496000.0,4825692000.0,12376958000.0
2020-02-29,23610307559.222,3348745000.0,8642496000.0,4825692000.0,12376958000.0
2020-03-31,23610307559.222,3348745000.0,8642496000.0,4825692000.0,12376958000.0
2020-04-30,27085228964.1012,2761844000.0,8627921000.0,4681315000.0,12827626000.0
2020-05-31,27085228964.1012,2761844000.0,8627921000.0,4681315000.0,12827626000.0
2020-06-30,27085228964.1012,2761844000.0,8627921000.0,4681315000.0,12827626000.0
2020-07-31,24975954793.7481,2457948000.0,8672449000.0,4954678000.0,13636566000.0
2020-08-31,24975954793.7481,2457948000.0,8672449000.0,4954678000.0,13636566000.0
2020-09-30,24975954793.7481,2457948000.0,8672449000.0,4954678000.0,13636566000.0
2020-10-31,27549017200.0461,2613834000.0,9001237000.0,5168196000.0,12931895000.0
2020-11-30,27549017200.0461,2613834000.0,9001237000.0,5168196000.0,12931895000.0
2020-12-31,27549017200.0461,2613834000.0,9001237000.0,5168196000.0,12931895000.0
2021-01-31,25608104643.3385,2784207000.0,8818795000.0,4741029000.0,13367278000.0
2021-02-28,25608104643.3385,2784207000.0,8818795000.0,4741029000.0,13367278000.0
2021-03-31,25608104643.3385,2784207000.0,8818795000.0,4741029000.0,13367278000.0
2021-04-30,26854516121.7253,3022089000.0,9019049000.0,4805352000.0,14570493000.0
2021-05-31,26854516121.7253,3022089000.0,9019049000.0,4805352000.0,14570493000.0
2021-06-30,26854516121.7253,3022089000.0,9019049000.0,4805352000.0,14570493000.0
2021-07-31,27228063310.9605,2842583000.0,8945059000.0,4743544000.0,15046470000.0
2021-08-31,27228063310.9605,2842583000.0,8945059000.0,4743544000.0,15046470000.0
2021-09-30,27228063310.9605,2842583000.0,8945059000.0,4743544000.0,15046470000.0
2021-10-31,29383187653.8888,3070103000.0,9003785000.0,5215585000.0,13559285000.0
2021-11-30,29383187653.8888,3070103000.0,9003785000.0,5215585000.0,13559285000.0
2021-12-31,29383187653.8888,3070103000.0,9003785000.0,5215585000.0,13559285000.0
2022-01-31,26442216010.1192,2462281000.0,5671992000.0,4406756000.0,14314007000.0
2022-02-28,26442216010.1192,2462281000.0,5671992000.0,4406756000.0,14314007000.0
2022-03-31,26442216010.1192,2462281000.0,5671992000.0,4406756000.0,14314007000.0
2022-04-30,22270948433.5897,2095093000.0,5433944000.0,4494717000.0,13644734000.0
2022-05-31,22270948433.5897,2095093000.0,5433944000.0,4494717000.0,13644734000.0
2022-06-30,22270948433.5897,2095093000.0,5433944000.0,4494717000.0,13644734000.0
2022-07-31,22501736128.5665,1991636000.0,4991090000.0,4211177000.0,14025794000.0
2022-08-31,22501736128.5665,1991636000.0,4991090000.0,4211177000.0,14025794000.0
2022-09-30,22501736128.5665,1991636000.0,4991090000.0,4211177000.0,14025794000.0
2022-10-31,26929187392.0519,1911834000.0,5162180000.0,4348059000.0,13332315000.0
2022-11-30,26929187392.0519,1911834000.0,5162180000.0,4348059000.0,13332315000.0
2022-12-31,26929187392.0519,1911834000.0,5162180000.0,4348059000.0,13332315000.0
2023-01-31,32866465573.4247,1808220000.0,5258548000.0,4393108000.0,15015123000.0
2023-02-28,32866465573.4247,1808220000.0,5258548000.0,4393108000.0,15015123000.0
2023-03-31,32866465573.4247,1808220000.0,5258548000.0,4393108000.0,15015123000.0
2023-04-30,37371803631.261,1746553000.0,5190273000.0,4295935000.0,14684546000.0
2023-05-31,37371803631.261,1746553000.0,5190273000.0,4295935000.0,14684546000.0
2023-06-30,37371803631.261,1746553000.0,5190273000.0,4295935000.0,14684546000.0
2023-07-31,38097457693.4001,1968080000.0,5165496000.0,4192816000.0,14246203000.0
2023-08-31,38097457693.4001,1968080000.0,5165496000.0,4192816000.0,14246203000.0
2023-09-30,38097457693.4001,1968080000.0,5165496000.0,4192816000.0,14246203000.0
2023-10-31,38715818307.8863,1522273000.0,4220455000.0,3188029000.0,14248517000.0
2023-11-30,38715818307.8863,1522273000.0,4220455000.0,3188029000.0,14248517000.0
2023-12-31,38715818307.8863,1522273000.0,4220455000.0,3188029000.0,14248517000.0
2024-01-31,41838087389.2532,1596438000.0,4391311000.0,3270725000.0,14568783000.0
2024-02-29,41838087389.2532,1596438000.0,4391311000.0,3270725000.0,14568783000.0
2024-03-31,41838087389.2532,1596438000.0,4391311000.0,3270725000.0,14568783000.0
2024-04-30,35888898145.8244,1407906000.0,5670701000.0,3282944000.0,14818863000.0
2024-05-31,35888898145.8244,1407906000.0,5670701000.0,3282944000.0,14818863000.0
2024-06-30,35888898145.8244,1407906000.0,5670701000.0,3282944000.0,14818863000.0
2024-07-31,36552112949.0099,1411973000.0,5679027000.0,3299542000.0,13799159000.0
2024-08-31,36552112949.0099,1411973000.0,5679027000.0,3299542000.0,13799159000.0
2024-09-30,36552112949.0099,1411973000.0,5679027000.0,3299542000.0,13799159000.0
