Financial performance indicators (Assets of the Ukrainian banks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Based on data submitted to the National Bank of Ukraine according to Instruction on compilation and publication of financial reporting of banks in Ukraine, approved by the Resolution of the Board of the National Bank of Ukraine No. 373 of 24 October 2011, аs amended  (reporting file A4))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,By all currencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UAH, thousand"
,,1/1/2019,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№,NKB,Bank,Cash and cash equivalents,including cash,including bank metals,including provisions against cash and bank metals with unconfirmed availability,including amounts due from NBU,Financial assets designated at fair value through proﬁt or loss,including refinanced by NBU,Amounts due from other banks,provision for impairment of amounts due from other banks,Loans and receivables from customers,including loans and receivables from legal entities,including provision for impairment of loans and receivables from legal entities,including loans and receivables from individuals,including provision for impairment of loans and receivables from individuals,Securities at fair value through other comprehensive income,including refinanced by NBU,provision for impairment of securities at fair value through other comprehensive income,Securities at amortised cost,provision for impairment of securities  at amortised cost,including refinanced by NBU,Investments in associates and subsidiaries,Investment property,Current income tax receivables,Deferred tax asset , Fixed assets and intangible assets,Other financial assets,provision against other financial assets ,Other assets,provision against other assets,"Net assets, total","Provisions, total",Total assets,IGLB refinanced by NBU
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,,State-owned banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 46,CB PrivatBank JSC,"22,345,331","16,117,360","34,823","-211,475","6,404,623","86,244,441","86,244,431","5,069,731","-15,140","52,019,975","13,043,928","-213,440,635","38,976,047","-28,406,739","79,298,866","79,204,606",0,"14,537,748",0,"13,665,988","147,099","3,340,121","184,062","18,000","3,793,400","12,120,542","-1,080,983","2,918,032","-55,438","282,037,351","-243,210,408","525,247,759","168,720,156"
2,  6,Oschadbank JSC,"10,634,527","5,667,991","33,712",0,"4,932,824","41,591,932","40,736,819","10,008,487","-4,602,240","67,543,176","62,131,361","-60,109,075","5,411,816","-3,532,290","57,161,708","55,067,282","-813,395","17,836,599","-370,641","17,836,599","24,800","796,869","267,324","269,730","8,953,527","1,449,346","-3,152,339","1,892,606",0,"218,430,631","-72,579,981","291,010,612","96,614,339"
3,  2,Ukreksimbank JSC,"4,195,328","1,194,270","83,634","-34,855","2,952,279","26,653,561","26,653,561","14,668,764","-772,678","72,478,932","72,295,626","-63,007,101","183,307","-1,789,789","35,789,095","34,371,218","-4,223,558","49,855",0,"49,855",0,"1,153,243","160,928","2,033,021","1,700,307","396,952","-426,130","2,345,395","-78,535","161,625,382","-70,332,646","231,958,028","54,934,588"
4,274,Ukrgаzbаnk JSB,"3,623,952","1,696,291","11,160","-50,374","1,966,874",663,333,"7,265,250","-722,683","45,236,844","42,466,906","-4,645,415","2,769,938","-3,675,154","18,801,478","18,489,390","-27,530","4,005,260",0,"4,005,260",0,"278,028","4,921","75,432","1,710,795","229,822","-830,094","1,159,639","-24,744","82,392,084","-9,975,992","92,368,076","18,506,100"
5,593,Settlement Center PJSC,172,0,0,0,172,0,0,34,-10,0,0,0,0,0,0,0,0,"208,511",0,"208,511",0,"46,524",131,0,"47,276",474,-914,"1,707",0,"304,829",-924,"305,753",0
,,Total across state-owned banks,"40,799,310","24,675,913","163,329","-296,703","16,256,772","154,490,597","153,635,145","37,012,266","-6,112,750","237,278,928","189,937,820","-341,202,225","47,341,108","-37,403,972","191,051,147","187,132,497","-5,064,483","36,637,974","-370,641","35,766,214","171,899","5,614,786","617,366","2,396,183","16,205,305","14,197,136","-5,490,459","8,317,379","-158,717","744,790,277","-396,099,951","1,140,890,228","338,775,183"
