bank_name,date_m,y,p
Ukreximbank,2022-10-31,0,1.0
Ukreximbank,2022-11-30,0,0.9999999999999918
Sense Bank,2023-01-31,0,0.9999989315889168
Credit Europe Bank,2024-02-29,0,0.9999969700406868
Citibank,2024-02-29,0,0.9999961043837816
Credit Europe Bank,2024-01-31,0,0.9999920917432892
Idea Bank,2024-02-29,0,0.9999919409390444
Credit Europe Bank,2024-03-31,0,0.9999877250750429
BTA Bank,2024-03-31,0,0.9999731711669722
BTA Bank,2024-02-29,0,0.9999582553941404
Sense Bank,2024-02-29,0,0.9999162833801284
Idea Bank,2022-11-30,0,0.9998380085522548
Citibank,2024-03-31,0,0.9998280147937888
Clearing House,2024-01-31,0,0.9998269562170906
OTP Bank,2024-02-29,0,0.999826742514108
SEB Corporate Bank,2024-03-31,0,0.9998237249263024
UkrSibbank,2024-02-29,0,0.99982019202532
Idea Bank,2024-03-31,0,0.9997925915111402
BTA Bank,2024-01-31,0,0.9997417256230302
BTA Bank,2024-12-31,0,0.999734887222126
FUIB,2024-02-29,0,0.99956334607209
Sky Bank,2024-02-29,0,0.9995199593040626
SEB Corporate Bank,2024-02-29,0,0.9994768615699408
BTA Bank,2024-11-30,0,0.999354748669329
Bank 3/4,2024-12-31,0,0.9992417832577206
Universal Bank,2024-02-29,0,0.9991217887284874
Clearing House,2024-02-29,0,0.9989631377535748
Ukreximbank,2024-02-29,0,0.9989273172990706
Citibank,2024-01-31,0,0.998694112559266
Oschadbank,2024-02-29,0,0.9984190906059476
Bank Grant,2024-02-29,0,0.9982244023479904
Deutsche Bank DBU,2024-02-29,0,0.998196156214788
ING Bank Ukraine,2024-02-29,0,0.9981461961610888
Sense Bank,2024-01-31,0,0.9978788841998508
Cominbank,2023-02-28,0,0.9976709210831036
First Investment Bank,2024-01-31,0,0.9974711846305656
Credit Europe Bank,2024-12-31,0,0.9970058488974388
Sense Bank,2024-03-31,0,0.9969811250146872
ING Bank Ukraine,2024-03-31,0,0.9969704785338596
UkrSibbank,2024-03-31,0,0.9969389229396078
OTP Bank,2024-03-31,0,0.9967909307424404
Sky Bank,2024-01-31,0,0.9965837644739486
Universal Bank,2024-01-31,0,0.9963197456803468
SEB Corporate Bank,2024-01-31,0,0.996308359329874
Piraeus Bank ICB,2024-02-29,0,0.9961172609332278
Raiffeisen Bank,2024-02-29,0,0.9960426966090128
Clearing House,2024-12-31,0,0.9959039092935033
Bank Grant,2024-01-31,0,0.9958276295293302
FUIB,2024-03-31,0,0.994902654100263
Crystalbank,2024-01-31,0,0.9947183680379184
