bank_name,date_m,y,p
Forward Bank,2023-01-31,1,0.9999994879366484
PrivatBank,2023-02-28,1,0.9843830096265522
Ukrconstinvestbank,2023-02-28,1,0.4016386331918926
Alfa-Bank,2022-11-30,1,0.2794037046144699
Bank Avangard,2023-01-31,1,0.2107558562612086
Accordbank,2023-01-31,1,0.0682359600612562
COMINVESTBANK,2023-01-31,1,0.0528017872813368
Concord,2023-01-31,1,0.0353887325396251
Radabank,2023-01-31,1,0.0293316187236165
RWS Bank,2023-01-31,1,0.0245999408501544
ALPARI BANK,2023-01-31,1,1.277044318603992e-05
Bank Sich,2022-10-31,1,3.692883354389465e-11
