bank_name,date_m,prob
Sberbank,2020-12-31,0.0015150367249733166
Sense Bank,2020-12-31,0.0011948162704006017
Cominbank,2020-12-31,0.0011948162704006017
Oschadbank,2020-12-31,0.0011948162704006017
Ukreximbank,2020-12-31,0.00114651599380007
BTA Bank,2020-12-31,0.0006142676209451972
Ukrainian Bank for Reconstruction and Development,2020-12-31,0.0005883470185547965
PrivatBank,2020-12-31,0.000588230481446013
Bank Credit Dnipro,2020-12-31,0.0005775892745175221
Pravex Bank,2020-12-31,0.0004584980545074912
