feature,coef,abs_coef
sarimax_score,5.884351418535528,5.884351418535528
27_Cross-border deposits with BIS rep. banks_lag1,-0.7069919658144864,0.7069919658144864
NPL_Ratio,-0.26191753290450265,0.26191753290450265
ROE,-0.12722049501658972,0.12722049501658972
"12_Liabilities to BIS banks (cons.), short term_lag1",0.1021606519930627,0.1021606519930627
24_International reserves (excluding gold)_lag1,-0.07997548922747108,0.07997548922747108
ROA,-0.0576742229904774,0.0576742229904774
Liquid_Assets_Ratio,-0.033668463094020815,0.033668463094020815
WAR,0.0,0.0
27_Cross-border deposits with BIS rep. banks,0.0,0.0
01_Cross-border loans from BIS reporting banks,0.0,0.0
Capital_Ratio,0.0,0.0
24_International reserves (excluding gold),0.0,0.0
"12_Liabilities to BIS banks (cons.), short term",0.0,0.0
"22_Liabilities to BIS banks, locational, total",0.0,0.0
us_3y_yield,0.0,0.0
Net_Open_FX_Ratio,0.0,0.0
Loan_Deposit_Ratio,0.0,0.0
Cost_Income_Ratio,0.0,0.0
ukraine_3y_yield,0.0,0.0
ukraine_3y_change_pct,0.0,0.0
yield_spread_ukr_us_3y,0.0,0.0
ukraine_3y_yield_z,0.0,0.0
us_3y_yield_lag1,0.0,0.0
yield_spread_ukr_us_3y_lag1,0.0,0.0
yield_spread_ukr_us_3y_z,0.0,0.0
us_3y_yield_z,0.0,0.0
ukraine_3y_yield_lag1,0.0,0.0
ukraine_3y_change_pct_lag1,0.0,0.0
01_Cross-border loans from BIS reporting banks_lag1,0.0,0.0
"22_Liabilities to BIS banks, locational, total_lag1",0.0,0.0
