feature,coef,std_err,z,p_value,ci_low,ci_high,significant_5pct
const,-8.416324721967003,1.6351872670029357,-5.147009698401653,2.646716480861139e-07,-11.621232873271238,-5.211416570662768,True
24_International reserves (excluding gold),0.5738714484019852,1.6849676900873258,0.340583057929285,0.7334174855163212,-2.728604539282821,3.8763474360867916,False
27_Cross-border deposits with BIS rep. banks_lag1,-1.431948232789202,2.9568193099653994,-0.48428668872767827,0.6281824215553696,-7.227207589113959,4.363311123535556,False
us_3y_yield_lag1,5.553017840026994,7.518887787081395,0.7385424543198972,0.46018487862135593,-9.183731426450606,20.289767106504595,False
ukraine_3y_yield_lag1,-4.792553423082317,12.088634085009208,-0.3964511945171237,0.6917722055520403,-28.485840851983674,18.90073400581904,False
ukraine_3y_change_pct_lag1,-0.45035739877421627,1.4752453604683997,-0.3052762685057521,0.7601557487927354,-3.3417851736520894,2.441070376103657,False
24_International reserves (excluding gold)_lag1,-0.8374903113169224,2.4846729995783052,-0.337062587897506,0.7360697193738873,-5.707359903849506,4.032379281215661,False
"12_Liabilities to BIS banks (cons.), short term_lag1",-2.616212016979773,3.7760624452452016,-0.6928413009361362,0.4884091501809569,-10.017158413034618,4.784734379075072,False
"22_Liabilities to BIS banks, locational, total_lag1",6.5881393703098405,10.463080603463514,0.6296557983247323,0.5289198080830388,-13.919121779818262,27.09540052043794,False
01_Cross-border loans from BIS reporting banks_lag1,-1.9412639167171664,2.4744048577571416,-0.7845377083832488,0.43272466472040616,-6.791008321092119,2.908480487657786,False
yield_spread_ukr_us_3y_lag1.1,1.952142190999224,12.817866856472211,0.1522985230583446,0.8789514897611767,-23.170415206315948,27.0746995883144,False
sarimax_score,11.660284894171019,1.0862553193271947,10.734386922397924,7.018325915633866e-27,9.531263590274662,13.789306198067376,True
