bank_name,total_observations,present_observations,first_date,last_date,months_covered,is_failed,failure_date,last_reporting_date
A-Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
ALPARI BANK,76,42,2019-01-01,2025-04-01,76,1,2023-02-01,2023-01-01
AP Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Accordbank,76,42,2019-01-01,2025-04-01,76,1,2023-02-01,2023-01-01
Alfa-Bank,76,40,2019-01-01,2025-04-01,76,1,2022-12-01,2022-11-01
Altbank,76,69,2019-01-01,2025-04-01,76,0,,2025-04-01
Arkada,76,14,2019-01-01,2025-04-01,76,1,2020-10-01,2020-09-01
Asvio Bank,76,69,2019-01-01,2025-04-01,76,0,,2025-04-01
BTA Bank,76,68,2019-01-01,2025-04-01,76,0,,2025-04-01
Bank 3/4,76,73,2019-01-01,2025-04-01,76,0,,2025-04-01
Bank Alliance,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Bank Avangard,76,42,2019-01-01,2025-04-01,76,1,2023-02-01,2023-01-01
Bank Credit Dnipro,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Bank Grant,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Bank Portal,76,75,2019-01-01,2025-04-01,76,0,,2025-03-01
Bank Sich,76,39,2019-01-01,2025-04-01,76,1,2022-11-01,2022-10-01
Bank for Investments and Savings,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
COMINVESTBANK,76,42,2019-01-01,2025-04-01,76,1,2023-02-01,2023-01-01
Citibank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Clearing House,76,76,2019-01-01,2025-04-01,76,0,2019-08-01,2019-07-01
Cominbank,76,28,2019-01-01,2025-04-01,76,0,,2025-04-01
Concord,76,49,2019-01-01,2025-04-01,76,1,2023-02-01,2023-01-01
Credit Europe Bank,76,73,2019-01-01,2025-04-01,76,0,,2025-04-01
Crystalbank,76,69,2019-01-01,2025-04-01,76,0,,2025-04-01
Deutsche Bank DBU,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Europrombank,76,7,2019-01-01,2025-04-01,76,1,2019-08-01,2019-07-01
FUIB,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Financial Initiative,76,3,2019-01-01,2025-04-01,76,1,2019-04-01,2019-03-01
First Investment Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Forward Bank,76,49,2019-01-01,2025-04-01,76,1,2023-02-01,2023-01-01
IBOX Bank,76,7,2019-01-01,2025-04-01,76,1,2019-08-01,2019-07-01
ING Bank Ukraine,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Idea Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Industrialbank,76,34,2019-01-01,2025-04-01,76,0,2019-08-01,2019-07-01
Lviv,76,69,2019-01-01,2025-04-01,76,0,,2025-04-01
MTB Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Megabank,76,32,2019-01-01,2025-04-01,76,1,2022-06-01,2022-05-01
MetaBank,76,69,2019-01-01,2025-04-01,76,0,,2025-04-01
Misto Bank,76,17,2019-01-01,2025-04-01,76,1,2021-01-01,2020-12-01
Motor-Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
OKCI Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
OTP Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Oschadbank,76,26,2019-01-01,2025-04-01,76,0,,2025-04-01
Piraeus Bank ICB,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Pivdenny Bank,76,76,2019-01-01,2025-04-01,76,0,2019-08-01,2019-07-01
Policombank,76,69,2019-01-01,2025-04-01,76,0,,2025-04-01
Poltava-Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Pravex Bank,76,69,2019-01-01,2025-04-01,76,0,,2025-04-01
PrivatBank,76,43,2019-01-01,2025-04-01,76,1,2023-03-01,2023-02-01
RWS Bank,76,42,2019-01-01,2025-04-01,76,1,2023-02-01,2023-01-01
Radabank,76,42,2019-01-01,2025-04-01,76,1,2023-02-01,2023-01-01
Raiffeisen Bank,76,69,2019-01-01,2025-04-01,76,0,,2025-04-01
SEB Corporate Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Sberbank,76,29,2019-01-01,2025-04-01,76,1,2022-01-01,2021-12-01
Sense Bank,76,29,2019-01-01,2025-04-01,76,0,,2025-04-01
Settlement Center,76,7,2019-01-01,2025-04-01,76,1,2019-08-01,2019-07-01
Sky Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
TAScombank,76,69,2019-01-01,2025-04-01,76,0,,2025-04-01
Trust-Capital,76,71,2019-01-01,2025-04-01,76,0,,2025-04-01
UkrSibbank,76,69,2019-01-01,2025-04-01,76,0,,2025-04-01
Ukrainian Bank for Reconstruction and Development,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Ukrainian Capital Bank,76,69,2019-01-01,2025-04-01,76,0,,2025-04-01
Ukrconstinvestbank,76,43,2019-01-01,2025-04-01,76,1,2023-03-01,2023-02-01
Ukreximbank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Ukrgasbank,76,76,2019-01-01,2025-04-01,76,0,2019-08-01,2019-07-01
Universal Bank,76,76,2019-01-01,2025-04-01,76,0,,2025-04-01
Zemelny Capital,76,26,2019-01-01,2025-04-01,76,1,2021-10-01,2021-09-01
