year_month,total_banks,present_banks,failed_banks,availability_rate
2019-01,67,38,0,56.71641791044776
2019-02,67,38,0,56.71641791044776
2019-03,67,38,0,56.71641791044776
2019-04,67,37,1,55.223880597014926
2019-05,67,37,1,55.223880597014926
2019-06,67,38,1,56.71641791044776
2019-07,67,38,1,56.71641791044776
2019-08,67,57,4,85.07462686567165
2019-09,67,57,4,85.07462686567165
2019-10,67,57,4,85.07462686567165
2019-11,67,57,4,85.07462686567165
2019-12,67,57,4,85.07462686567165
2020-01,67,59,4,88.05970149253731
2020-02,67,58,4,86.56716417910447
2020-03,67,57,4,85.07462686567165
2020-04,67,59,4,88.05970149253731
2020-05,67,57,4,85.07462686567165
2020-06,67,59,4,88.05970149253731
2020-07,67,59,4,88.05970149253731
2020-08,67,59,4,88.05970149253731
2020-09,67,59,4,88.05970149253731
2020-10,67,58,5,86.56716417910447
2020-11,67,58,5,86.56716417910447
2020-12,67,58,5,86.56716417910447
2021-01,67,57,6,85.07462686567165
2021-02,67,57,6,85.07462686567165
2021-03,67,57,6,85.07462686567165
2021-04,67,57,6,85.07462686567165
2021-05,67,57,6,85.07462686567165
2021-06,67,57,6,85.07462686567165
2021-07,67,57,6,85.07462686567165
2021-08,67,57,6,85.07462686567165
2021-09,67,57,6,85.07462686567165
2021-10,67,56,7,83.5820895522388
2021-11,67,56,7,83.5820895522388
2021-12,67,56,7,83.5820895522388
2022-01,67,52,8,77.61194029850746
2022-02,67,55,8,82.08955223880598
2022-03,67,55,8,82.08955223880598
2022-04,67,52,8,77.61194029850746
2022-05,67,55,8,82.08955223880598
2022-06,67,54,9,80.59701492537313
2022-07,67,52,9,77.61194029850746
2022-08,67,54,9,80.59701492537313
2022-09,67,54,9,80.59701492537313
2022-10,67,54,9,80.59701492537313
2022-11,67,53,10,79.1044776119403
2022-12,67,54,11,80.59701492537313
2023-01,67,53,11,79.1044776119403
2023-02,67,48,19,71.64179104477611
2023-03,67,46,21,68.65671641791045
2023-04,67,45,21,67.16417910447761
2023-05,67,46,21,68.65671641791045
2023-06,67,46,21,68.65671641791045
2023-07,67,46,21,68.65671641791045
2023-08,67,46,21,68.65671641791045
2023-09,67,46,21,68.65671641791045
2023-10,67,46,21,68.65671641791045
2023-11,67,46,21,68.65671641791045
2023-12,67,46,21,68.65671641791045
2024-01,67,46,21,68.65671641791045
2024-02,67,46,21,68.65671641791045
2024-03,67,46,21,68.65671641791045
2024-04,67,46,21,68.65671641791045
2024-05,67,46,21,68.65671641791045
2024-06,67,46,21,68.65671641791045
2024-07,67,46,21,68.65671641791045
2024-08,67,46,21,68.65671641791045
2024-09,67,46,21,68.65671641791045
2024-10,67,46,21,68.65671641791045
2024-11,67,46,21,68.65671641791045
2024-12,67,46,21,68.65671641791045
2025-01,67,46,21,68.65671641791045
2025-02,67,46,21,68.65671641791045
2025-03,67,46,21,68.65671641791045
2025-04,67,45,21,67.16417910447761
